precision recall threshold
0.251 1.0 0.0
0.251 1.0 0.01
0.251 1.0 0.02
0.251 0.999 0.03
0.252 0.997 0.04
0.256 0.996 0.05
0.26 0.993 0.06
0.267 0.989 0.07
0.277 0.983 0.08
0.288 0.972 0.09
0.305 0.964 0.1
0.321 0.956 0.11
0.333 0.939 0.12
0.351 0.934 0.13
0.368 0.927 0.14
0.385 0.924 0.15
0.402 0.916 0.16
0.415 0.914 0.17
0.427 0.911 0.18
0.434 0.906 0.19
0.44 0.905 0.2
0.446 0.901 0.21
0.452 0.901 0.22
0.46 0.899 0.23
0.47 0.899 0.24
0.476 0.899 0.25
0.484 0.898 0.26
0.495 0.897 0.27
0.506 0.895 0.28
0.52 0.895 0.29
0.532 0.894 0.3
0.549 0.893 0.31
0.56 0.887 0.32
0.572 0.883 0.33
0.587 0.883 0.34
0.597 0.877 0.35
0.61 0.873 0.36
0.623 0.871 0.37
0.634 0.859 0.38
0.646 0.857 0.39
0.658 0.849 0.4
0.669 0.841 0.41
0.675 0.833 0.42
0.684 0.826 0.43
0.689 0.816 0.44
0.702 0.806 0.45
0.711 0.797 0.46
0.721 0.784 0.47
0.728 0.768 0.48
0.738 0.761 0.49
0.752 0.747 0.5
0.757 0.731 0.51
0.763 0.708 0.52
0.772 0.698 0.53
0.776 0.684 0.54
0.786 0.663 0.55
0.791 0.642 0.56
0.81 0.627 0.57
0.821 0.609 0.58
0.83 0.589 0.59
0.849 0.574 0.6
0.852 0.558 0.61
0.859 0.54 0.62
0.883 0.523 0.63
0.894 0.501 0.64
0.901 0.496 0.65
0.911 0.476 0.66
0.915 0.459 0.67
0.922 0.44 0.68
0.931 0.431 0.69
0.935 0.419 0.7
0.941 0.399 0.71
0.938 0.381 0.72
0.943 0.37 0.73
0.954 0.357 0.74
0.959 0.341 0.75
0.965 0.328 0.76
0.97 0.302 0.77
0.971 0.268 0.78
0.984 0.249 0.79
0.994 0.219 0.8
0.993 0.2 0.81
1.0 0.179 0.82
1.0 0.153 0.83
1.0 0.131 0.84
1.0 0.111 0.85
1.0 0.09 0.86
1.0 0.07 0.87
1.0 0.053 0.88
1.0 0.04 0.89
1.0 0.028 0.9
1.0 0.016 0.91
1.0 0.008 0.92
1.0 0.003 0.93
0 0 0.94
0 0 0.95
0 0 0.96
0 0 0.97
0 0 0.98
0 0 0.99
0 0 1.0
precision recall threshold
0.251 1.0 0.0
0.251 1.0 0.01
0.251 1.0 0.02
0.251 0.999 0.03
0.252 0.997 0.04
0.256 0.996 0.05
0.26 0.993 0.06
0.267 0.989 0.07
0.277 0.983 0.08
0.288 0.972 0.09
0.305 0.964 0.1
0.321 0.956 0.11
0.333 0.939 0.12
0.351 0.934 0.13
0.368 0.927 0.14
0.385 0.924 0.15
0.402 0.916 0.16
0.415 0.914 0.17
0.427 0.911 0.18
0.434 0.906 0.19
0.44 0.905 0.2
0.446 0.901 0.21
0.452 0.901 0.22
0.46 0.899 0.23
0.47 0.899 0.24
0.476 0.899 0.25
0.484 0.898 0.26
0.495 0.897 0.27
0.506 0.895 0.28
0.52 0.895 0.29
0.532 0.894 0.3
0.549 0.893 0.31
0.56 0.887 0.32
0.572 0.883 0.33
0.587 0.883 0.34
0.597 0.877 0.35
0.61 0.873 0.36
0.623 0.871 0.37
0.634 0.859 0.38
0.646 0.857 0.39
0.658 0.849 0.4
0.669 0.841 0.41
0.675 0.833 0.42
0.684 0.826 0.43
0.689 0.816 0.44
0.702 0.806 0.45
0.711 0.797 0.46
0.721 0.784 0.47
0.728 0.768 0.48
0.738 0.761 0.49
0.752 0.747 0.5
0.757 0.731 0.51
0.763 0.708 0.52
0.772 0.698 0.53
0.776 0.684 0.54
0.786 0.663 0.55
0.791 0.642 0.56
0.81 0.627 0.57
0.821 0.609 0.58
0.83 0.589 0.59
0.849 0.574 0.6
0.852 0.558 0.61
0.859 0.54 0.62
0.883 0.523 0.63
0.894 0.501 0.64
0.901 0.496 0.65
0.911 0.476 0.66
0.915 0.459 0.67
0.922 0.44 0.68
0.931 0.431 0.69
0.935 0.419 0.7
0.941 0.399 0.71
0.938 0.381 0.72
0.943 0.37 0.73
0.954 0.357 0.74
0.959 0.341 0.75
0.965 0.328 0.76
0.97 0.302 0.77
0.971 0.268 0.78
0.984 0.249 0.79
0.994 0.219 0.8
0.993 0.2 0.81
1.0 0.179 0.82
1.0 0.153 0.83
1.0 0.131 0.84
1.0 0.111 0.85
1.0 0.09 0.86
1.0 0.07 0.87
1.0 0.053 0.88
1.0 0.04 0.89
1.0 0.028 0.9
1.0 0.016 0.91
1.0 0.008 0.92
1.0 0.003 0.93
0 0 0.94
0 0 0.95
0 0 0.96
0 0 0.97
0 0 0.98
0 0 0.99
0 0 1.0
