overlaps_sQTLs	overlaps_sQTLs_4_same_gene	gene_has_sQTLs	TTC	TTG	TTT	group
0	0	1	0.051948052	0.025974026	0.077922078	0
1	1	1	0.026239067	0.025614327	0.05997501	1
0	0	0	0.014770459	0.025149701	0.033133733	0
0	0	0	0.018461538	0.02	0.048307692	1
0	0	0	0.022330097	0.027669903	0.055339806	0
0	0	1	0.033950617	0.030864198	0.070987654	1
0	0	1	0.021455939	0.019923372	0.050574713	1
0	0	1	0.021240442	0.020390824	0.048428207	1
0	0	1	0.020216963	0.029092702	0.065581854	1
0	0	1	0.019992686	0.020846032	0.048518835	1
0	0	1	0.016666667	0.044444444	0.122222222	1
0	0	1	0.028548124	0.025285481	0.072593801	0
0	0	1	0.013258897	0.027215632	0.052337753	1
0	0	1	0.017006803	0.018027211	0.038435374	1
0	0	0	0.01867065	0.02116007	0.02862833	0
0	0	0	0.014522822	0.023858921	0.020746888	0
0	0	0	0.012651555	0.01686874	0.02266737	0
0	0	0	0.024703806	0.017141417	0.041341064	0
0	0	0	0.012359395	0.019025135	0.025135398	0
0	0	1	0.032188841	0.021459227	0.049356223	0
