"Alx3"	"Alx4"	"Arx"	"Bapx1"	"Barhl1"	"Barhl2"	"Barx1"	"Barx2"	"Bsx"	"Cart1"	"Cdx2"	"Dobox4"	"Cphx"	"Cutl1"	"Dbx1"	"Dbx2"	"Dlx1"	"Dlx2"	"Dlx3"	"Dlx4"	"Dlx5"	"Dmbx1"	"Emx2"	"En1"	"En2"	"Dobox5"	"Esx1"	"Evx1"	"Evx2"	"Gbx1"	"Gbx2"	"Gsc"	"Gsh2"	"Hdx"	"Hlx1"	"Hlxb9"	"Hmbox1"	"Hmx1"	"Hmx2"	"Hmx3"	"Homez"	"Hoxa1"	"Hoxa10"	"Hoxa11"	"Hoxa13"	"Hoxa2"	"Hoxa3"	"Hoxa4"	"Hoxa5"	"Hoxa6"	"Hoxa7"	"Hoxa9"	"Hoxb13"	"Hoxb3"	"Hoxb4"	"Hoxb5"	"Hoxb6"	"Hoxb7"	"Hoxb8"	"Hoxb9"	"Hoxc10"	"Hoxc11"	"Hoxc12"	"Hoxc4"	"Hoxc5"	"Hoxc6"	"Hoxc8"	"Hoxc9"	"Hoxd1"	"Hoxd11"	"Hoxd12"	"Hoxd13"	"Hoxd3"	"Hoxd8"	"Ipf1"	"Irx2"	"Irx3"	"Irx4"	"Irx5"	"Irx6"	"Isl2"	"Isx"	"Lhx1"	"Lhx2"	"Lhx3"	"Lhx4"	"Lhx5"	"Lhx6"	"Lhx8"	"Lhx9"	"Lmx1a"	"Lmx1b"	"Meis1"	"Meox1"	"Mrg1"	"Mrg2"	"Msx1"	"Msx2"	"Msx3"	"Obox1"	"Obox2"	"Obox3"	"Obox5"	"Obox6"	"Nobox"	"Otp"	"Otx1"	"Otx2"	"Pax4"	"Pax6"	"Pax7"	"Pbx1"	"Phox2a"	"Phox2b"	"Pitx1"	"Pitx2"	"Pitx3"	"Pknox1"	"Pknox2"	"Pou1f1"	"Pou2f1"	"Pou2f2"	"Pou2f3"	"Pou3f1"	"Pou3f3"	"Pou3f4"	"Pou4f3"	"Pou6f1"	"Prop1"	"Prrx1"	"Prrx2"	"Rax"	"Rhox11"	"Rhox6"	"Shox2"	"Six1"	"Six2"	"Six3"	"Six4"	"Six6"	"Tcf1"	"Tcf2"	"Tgif1"	"Tgif2"	"Titf1"	"Tlx2"	"Uncx4.1"	"Vax1"	"Vax2"	"Vsx1"
2.3401	1.7044	2.5305	0.7962	1.8823	3.2222	1.2282	2.0546	0.5882	2.2736	0.8259	2.0124	0.4042	0.9369	0.9807	0.8331	1.3375	2.2112	2.9068	2.3749	1.5247	1.3537	1.5781	2.2671	1.7281	1.4116	1.8736	1.8051	0.2579	1.587	1.944	1.4828	2.2201	2.0554	2.3564	2.0576	-0.1996	1.4045	1.2843	1.7387	3.2031	2.8514	1.9894	1.8914	1.9734	1.7915	1.6255	2.7762	1.9285	1.077	1.3003	1.5425	2.2767	1.1389	1.9103	1.8766	1.0361	1.0996	0.9821	3.2275	1.3027	1.7837	1.7798	0.825	2.4295	2.2258	1.3786	1.2657	1.683	1.7616	2.0685	3.9841	2.2337	1.8768	0.4739	0.4532	1.2752	1.1457	0.6613	0.5403	1.0202	-0.1372	1.9671	1.7132	2.3725	0.9855	1.7903	1.5813	0.6419	1.9704	2.4237	3.2013	1.6791	0.5092	0.3839	1.1016	1.0343	1.2741	1.8801	1.5598	1.3391	0.3998	2.1638	1.117	1.2471	1.3345	2.0262	1.9409	1.6299	0.3621	2.0117	0.8754	1.395	1.0822	1.5617	1.2645	0.4639	0.2747	-0.4702	2.832	1.6021	2.4214	2.0632	1.7709	1.892	4.0049	1.5429	1.5698	2.4804	1.0963	2.5041	1.3028	0.5927	1.2434	2.3363	1.5198	0.5739	1.0595	0.1579	0.0931	1.4632	-0.0636	1.2235	0.0742	2.0043	0.5475	1.3708	1.6994	2.2566	3.3771
1.3416	1.4467	0.9565	0.0567	1.8291	2.4403	0.9911	1.2143	0.2469	1.2506	0.7903	2.0124	0.6365	0.8555	0.887	0.4624	0.3934	0.9337	1.209	0.7981	0.6587	0.3381	0.25	1.0047	0.8629	1.1625	0.4664	1.0151	0.1297	0.5542	0.892	1.266	1.849	1.2374	1.1604	0.9584	1.0792	0.2871	0.76	0.6098	1.3955	2.1068	0.9417	1.3613	1.9706	1.6512	-1.1771	1.3417	1.2043	0.492	1.4007	1.1952	2.385	0.4634	1.1547	0.9198	0.3791	1.0782	0.7534	1.5775	0.9245	0.7883	1.2576	0.8404	1.2775	0.7117	0.6719	0.6308	1.1233	1.1555	1.7004	2.4882	0.8938	1.2458	0.4619	0.3364	0.8581	0.7439	0.6602	0.602	-0.1706	0.2249	0.7052	0.5397	1.34	0.4601	0.6012	1.1808	0.0858	1.4449	1.3995	1.2589	1.1501	0.0926	-0.7906	0.2374	-1.7812	0.3017	0.8355	0.6804	1.0094	0.629	0.7805	0.7287	0.5018	0.4879	1.4229	1.7435	1.2149	-0.804	1.2216	0.6885	0.6897	0.9266	0.8499	0.5458	0.5228	-0.4991	-1.5654	1.9616	1.5335	0.8762	1.1179	1.4946	0.9165	1.7215	1.0863	1.018	1.5852	0.2631	1.692	0.9335	0.8378	1.4486	0.1909	0.481	-0.2366	-0.5274	-0.4375	0.0843	1.1287	1.0444	-0.2575	0.9416	0.3597	-0.2338	0.9116	1.2902	0.9958	1.2923
1.3386	1.0929	1.4749	1.1892	1.0593	1.4076	0.3329	1.2362	0.015	2.1433	-0.153	2.1561	0.4283	0.4735	0.4851	-0.1057	-0.0979	0.2198	0.5676	-0.0892	0.5188	0.9799	1.7949	0.9443	0.8392	1.6616	0.4563	0.689	-0.785	-0.4891	0.4347	0.6308	2.2236	0.7885	0.7477	0.747	0.765	0.2733	0.5688	0.2058	2.0632	1.9028	1.1146	1.0553	1.8887	0.6802	0.2202	1.1828	1.4296	0.2951	0.4003	0.5617	1.2006	-0.0858	0.9456	0.6672	0.2494	0.5695	0.1952	1.0674	0.2318	2.0226	1.8444	0.7394	1.0276	1.1926	0.3843	0.1852	0.3604	1.5851	1.7772	3.1986	0.8844	0.469	-0.1699	0.9492	0.9157	1.0636	0.5452	0.2768	1.2928	-0.3373	0.8587	0.5557	0.9382	0.0898	0.6423	0.5339	-0.2382	1.0343	1.5487	1.9283	0.6636	0.0495	0.1728	1.1775	0.4191	0.2744	0.1146	1.0242	1.0481	0.4475	2.1471	0.6163	1.479	0.7605	2.2009	1.6599	0.6657	-0.5052	1.5656	0.5301	1.3915	0.687	0.4679	0.269	0.3794	0.4263	-0.6498	0.8111	0.4853	0.8759	0.7369	0.3162	0.2304	1.2101	0.5103	1.4081	1.8246	0.3374	0.8613	-0.0336	0.5883	1.1234	0.5486	1.1411	-0.0984	1.067	-0.3823	1.4196	0.517	0.4963	0.3452	0.2785	2.1461	-0.377	0.3261	1.0687	0.3439	2.3979
2.1334	2.3737	1.9087	0.2495	2.1892	2.2676	2.2716	2.1577	1.1156	2.5319	0.6427	0.6907	0.8152	1.4342	1.7612	1.433	1.8897	2.3311	3.0886	2.4732	1.5638	1.9732	1.8877	1.3727	1.8714	1.5743	2.0286	2.2001	1.1075	1.7836	1.4863	2.3127	1.7148	2.1838	2.1741	2.2181	0.8909	1.6923	1.5155	1.5594	2.1951	2.6938	1.8718	2.1904	2.1405	2.2656	1.7641	2.604	1.9757	1.6857	1.7347	1.8285	2.6186	0.96	2.4549	2.042	0.8984	1.4086	2.2314	2.7357	1.7812	1.4492	2.3862	2.0094	2.5972	2.6725	2.1055	1.6699	1.4727	1.5902	1.8588	3.2995	1.9256	2.1438	1.1622	0.6798	1.2288	1.1546	1.0405	0.9821	1.1262	0.5243	2.0252	1.4295	2.4037	0.953	1.8436	1.8506	1.4462	1.5626	2.7258	2.5593	1.5059	1.0923	0.2075	1.2131	0.3879	0.7133	1.57	2.4845	2.1316	0.9556	1.9258	1.5852	1.1098	1.5872	1.758	1.7926	2.3059	0.2338	3.1491	0.797	2.3309	2.1936	1.2673	1.6454	0.9624	0.3986	-0.1964	4.1886	2.2073	2.4214	2.6777	2.8471	2.2134	4.8788	2.5896	3.4415	3.8341	1.8526	2.355	1.4644	0.9888	1.4847	2.411	1.245	0.8738	0.8517	-0.041	1.2055	1.5256	0.6547	1.6134	-0.066	1.326	0.2647	2.1307	1.6622	1.9085	3.1186
1.6949	1.1549	0.5943	-0.2069	1.3848	2.5651	1.5693	1.9802	0.1341	2.0363	0.2954	0.8837	1.2211	1.1606	1.1275	0.9162	0.77	1.4734	1.5042	0.8292	0.7327	1.0392	0.9961	0.8078	1.0139	0.3731	1.4098	0.6671	0.338	1.0375	1.9044	1.5003	2.1435	1.0104	1.0001	1.6848	1.0865	0.6329	1.0386	1.1357	2.582	2.5908	1.4993	1.3699	1.5144	1.7997	0.3861	2.0394	1.8941	1.0705	1.3522	1.4268	1.2512	0.459	1.6568	1.28	0.8734	0.9088	1.9425	2.6441	0.2012	1.0845	0.3539	1.3958	1.0504	1.9064	0.6719	1.1291	1.12	1.5068	0.8456	2.4882	1.8149	1.6881	0.6958	2.7966	3.8027	3.2811	2.9552	2.6079	1.2298	0.6434	1.0965	0.437	1.2201	0.2865	1.3926	0.6739	0.5008	1.471	1.5388	1.9445	0.6701	0.2387	-0.3421	0.6298	-0.392	0.2451	0.9208	1.013	1.6944	0.5068	1.5155	0.5911	0.8066	0.7576	0.5331	1.2679	1.4925	-0.3092	1.5784	0.6654	1.3643	0.7377	0.4729	-0.3555	0.3785	0.0152	-0.6246	1.8779	1.0011	0.8964	0.8804	1.3968	1.9271	1.8453	1.0787	0.9415	1.8657	0.4843	1.1717	1.1158	3.2052	0.8867	0.9323	0.585	0.6186	0.1907	-0.4375	1.5047	1.3839	0.875	0.188	0.7217	1.2139	0.5259	0.899	1.4452	1.436	-0.0793
0.8052	2.2283	0.7335	0.0686	1.2772	1.5051	0.1955	-0.0459	-0.4224	1.6281	0.5585	2.0218	0.4074	0.8689	0.864	0.1589	0.1235	0.7025	1.2227	0.211	0.5553	0.1516	1.2165	0.2332	0.5751	1.0544	0.778	0.6658	0.1463	0.1156	0.9918	1.2201	0.712	1.7629	1.1514	0.6685	2.1207	0.2501	-0.143	0.3008	1.5968	0.0505	1.3004	1.018	2.0664	0.8374	-0.6021	1.0944	0.3822	0.5681	1.1685	1.2351	1.9078	-0.0741	1.2145	0.2793	0.1063	0.6718	0.6971	1.895	0.5918	1.2792	1.9344	0.9777	1.3025	0.7231	0.5339	0.3487	0.4019	1.0133	0.8054	2.3162	0.5779	1.1277	0.5503	0.9408	1.054	0.6129	0.1742	0.6617	1.2305	0.0845	0.8279	0.3736	0.8605	-0.3132	0.8356	0.398	0.1679	0.6853	1.0114	1.4313	1.337	0.0803	-0.2073	0.3944	-0.7847	0.6616	0.7108	0.6988	0.9202	0.1209	0.7402	0.8819	0.8738	0.3628	0.636	1.1375	0.8513	-0.5448	0.6714	0.2117	1.4965	0.6916	0.3694	0.635	0.377	-0.3482	-0.7458	1.189	1.097	0.7344	0.6148	0.7258	0.6804	1.97	0.8397	1.3256	0.0697	0.0802	1.0213	0.9626	0.8688	0.9813	0.158	0.8696	0.1086	-0.5507	-0.0865	0.2813	1.7557	0.7897	0.2751	-0.6284	1.0524	-0.0922	0.0618	0.6723	0.5537	1.7673
0.8559	1.4916	1.5694	0.0567	3.6726	3.3521	1.7978	2.344	1.7295	1.6056	0.6785	0.4563	0.4614	1.1058	0.8853	1.0515	1.589	1.352	1.5123	1.3982	0.9211	0.7151	1.6312	1.4197	1.4052	0.4428	1.5684	1.7985	0.6464	1.1496	1.3319	1.0192	0.7401	1.1713	0.8609	1.356	0.3082	1.3232	1.9608	1.6846	2.6757	1.5414	1.4076	1.6314	2.1317	2.2046	0.7094	1.2195	0.9787	1.2582	1.5259	1.1293	2.191	0.9143	1.2719	1.2602	1.1759	0.9803	2.4722	1.5496	1.0055	1.3675	1.0458	1.409	1.9489	1.0175	1.0965	0.6308	1.1207	1.1555	1.6544	2.8419	1.4491	1.0946	0.9657	0.9608	0.9562	0.8128	0.7155	1.2274	0.9018	0.4782	1.1416	1.1423	1.444	0.3605	0.9007	1.2066	0.8398	1.2614	1.0137	1.3922	1.3865	1.0658	-0.8114	0.2374	-0.5533	0.3813	0.995	0.6446	0.9221	1.1642	1.3746	-0.2834	1.0584	0.3074	0.7384	1.628	0.3795	-0.0193	1.9526	1.2847	0.9086	0.7423	0.8545	0.1354	0.4862	0.8056	-0.1746	1.4621	1.3263	1.3949	0.7928	1.3781	0.8393	1.7422	0.6615	1.1587	1.6437	0.5306	0.5541	1.5688	1.2028	1.6868	0.7924	0.3578	-0.1538	-0.245	-0.4582	0.5343	-0.0409	0.7836	1.0954	2.4371	1.4925	1.0381	1.1578	1.899	1.9657	1.7756
0.7308	1.4478	0.6431	0.392	1.4183	1.538	0.7019	1.1505	0.2027	0.8434	0.6431	1.0234	0.2757	0.4904	0.6656	-0.1616	0.7457	0.6925	0.522	0.4127	0.4647	-0.6293	0.1583	0.3548	0.4453	0.0168	0.0656	0.7443	-0.7575	0.0856	0.4528	0.6266	1.3527	0.271	1.0967	0.3597	0.7804	0.4994	0.5733	0.4441	1.0483	1.601	0.4449	0.6391	1.297	1.2742	0.3533	0.9349	0.9053	0.385	0.4198	0.1794	1.9929	0.1134	0.7595	0.6585	0.3346	0.5913	1.1249	1.6518	0.185	0.6698	1.0701	0.6513	0.4581	0.3179	0.4294	0.4196	1.1019	0.7079	1.1883	2.168	0.8938	1.0404	0.5152	0.3539	0.7981	0.7794	0.4802	0.3911	0.3307	0.2705	0.3739	0.3224	0.7681	-0.0916	-0.1809	0.4401	-0.4002	1.1489	1.1905	1.0575	1.1501	0.5199	1.2379	1.3392	-2.0024	-0.2829	-0.5382	-0.539	-0.0023	-0.7934	-0.1341	-1.0049	0.5615	0.9936	-0.3751	0.1045	0.4827	-0.5103	0.9276	0.655	0.5988	0.6405	-0.6558	-0.5158	-0.732	1.3091	0.0561	0.448	1.1952	0.9697	0.7402	0.6076	0.5238	0.9649	0.288	0.9307	1.657	0.072	0.7421	-0.2733	0.3405	1.2034	-0.1055	1.0435	-0.3928	-0.9167	-0.5987	0.3075	1.7088	1.0434	1.0094	1.0792	0.6802	-0.8928	0.8952	1.2485	1.1575	0.7905
0.6835	1.609	1.6322	0.6297	1.2038	2.085	0.6872	1.0251	-0.0272	1.6081	0.6391	2.1292	0.2893	0.4503	0.9704	0.6661	0.4252	0.7493	1.0715	0.5842	0.545	1.335	1.2338	-0.22	1.0447	0.9761	1.1205	0.736	-0.6027	0.5513	0.4164	1.0834	0.5481	1.4826	0.7701	1.1373	0.4758	0.4387	1.0033	0.6106	1.8276	2.242	1.1242	1.4431	1.6695	1.1831	-0.4212	0.8985	1.6372	0.2557	0.3052	1.0964	2.1556	0.4406	1.0098	0.4372	0.3412	0.5321	0.6397	1.4217	-0.0929	1.2996	1.5302	0.1834	0.8218	1.4495	0.6397	0.4773	0.4896	1.3787	1.4969	2.7399	0.7039	1.2703	0.1158	0.2526	0.7917	0.4628	0.4294	-0.1497	0.2945	-0.2348	1.294	0.714	0.8307	-0.0745	0.9579	0.3983	-0.1763	1.2812	1.5176	1.973	1.9058	0.2071	-0.0686	0.9787	-0.7988	0.1376	0.4057	0.6187	-0.0748	-0.1428	0.598	-0.413	1.1684	1.2058	0.8541	0.747	0.9753	-0.7035	1.5198	0.9561	0.4104	0.9213	-0.735	0.2674	-0.2703	0.4028	-0.2545	1.0283	0.59	0.8025	0.7365	1.009	-0.3056	0.8905	0.2179	1.1979	1.596	0.0797	0.4835	1.0142	0.4759	0.696	0.3487	1.2446	-0.0398	0.1374	-0.5376	1.2294	-0.7661	-0.6673	0.8082	0.0412	1.0505	0.0427	0.9295	1.4154	0.4438	2.0085
0.2515	-0.2414	-1.464	-0.4727	0.8614	1.0989	0.0056	0.042	-0.0153	-0.3581	-0.5502	1.566	-0.0912	-0.5181	0.5729	-0.1421	-0.1034	-0.0111	0.0389	-0.0211	-0.4405	0.4938	-0.5124	-0.2338	-0.6132	0.44	-0.1503	-0.2793	-1.5475	-0.7686	-0.7267	-0.1675	1.2025	-0.6893	0.4657	-0.5557	-0.738	0.0376	0.0216	0.2149	0.5144	0.2123	0.1539	1.0979	2.1999	-0.4709	-1.3085	0.2629	-0.2431	0.3577	0.083	0.2578	0.6406	-0.0508	0.1675	-0.358	-0.6394	1.105	0.1195	0.4434	0.0056	-0.2272	-0.0889	-0.3275	0.1534	0.5005	0.0733	0.0054	-1.0734	1.1252	0.5255	1.7909	-0.1985	0.1467	-0.8933	-0.1938	0.2495	0.4603	0.0882	0.1275	1.1202	-1.2516	0.1706	-0.8069	-0.3682	-1.4999	0.2775	-0.6767	-1.5084	0.5232	-0.4991	-0.024	0.5224	-0.7395	-0.8281	0.106	-0.9246	-0.7964	-0.6435	0.3958	-0.2467	-0.1595	0.4134	-0.2375	0.1982	-0.4377	1.067	0.4542	0.4224	-0.6233	-0.0861	-0.2433	-0.1426	-0.6985	1.326	1.0494	0.4274	-0.3229	-0.6898	-0.5204	0.0314	0.8447	-0.1938	0.046	0.1497	-0.8485	0.4791	0.2167	-0.1443	-0.6145	0.2624	-2.1294	0.697	0.5442	-0.2979	-0.5369	-1.9565	-0.9128	-1.1573	-0.3086	0.0785	-0.5755	0.4949	-0.552	0.624	0.6344	-0.4985	-0.4491	-1.0052	-0.757
